,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
984,Boy In Luv,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,60,2022-06-10,https://open.spotify.com/track/0vMk4IrUfSJQkhwZnVX6us,231384,False
985,Chillax,Velayudham (Original Motion Picture Soundtrack),https://open.spotify.com/album/7wA6YEDF9VnLeXP2yCBIM7,Vijay Antony,61,2011-08-29,https://open.spotify.com/track/3EPxiSj3RsjMMdKCM7pthV,265853,False
986,Meyhaneci,130 Bpm Quartet,https://open.spotify.com/album/7rsL05Cin8vJdo4xsbpTGx,Ozan Doğulu,61,2014,https://open.spotify.com/track/2NMByegfDRfCpxG5O6pXg6,217897,False
987,Doom Du Doom,HARMONY : ZERO IN,https://open.spotify.com/album/73CTPjApMDvFsycjbbROji,P1Harmony,61,2022-07-20,https://open.spotify.com/track/41tvdK0UNp3oNKWDPkg7FO,210333,False
988,4 Walls,4 Walls - The 4th Album,https://open.spotify.com/album/6yJdchE7ARS996BxRgplFH,f(x),61,2015-10-27,https://open.spotify.com/track/2YkjXEab4USTV9uuAgC90E,207477,False
989,Naughty,Naughty,https://open.spotify.com/album/2lkUE2gkw5sX0fGzZZCs0N,Red Velvet - IRENE & SEULGI,61,2020-07-20,https://open.spotify.com/track/0P8lbWigAHXPKxUG60xh79,198520,False
990,Habit,SEVENTEEN 4th Mini Album ‘Al1’,https://open.spotify.com/album/2BNimvLLlD89e4Sb7ZVX6I,SEVENTEEN,61,2017-05-22,https://open.spotify.com/track/0ePDb0b1tMQlqP9u58pmcg,253200,False
991,Baik Baik Sayang,Cari Jodoh,https://open.spotify.com/album/33R1KrmztvFvWsbz8T71Ke,Wali,62,2009-05-20,https://open.spotify.com/track/5jsSSCQC4rj1DG3PZeUhl6,251842,False
992,Something,Girl's Day Love Second Album,https://open.spotify.com/album/6bf0r561nSUanYZ9ej56Me,Girl's Day,61,2015-07-07,https://open.spotify.com/track/3xHIyErJUeuy0MpjUKRuPw,200705,False
993,RUN,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,60,2022-06-10,https://open.spotify.com/track/20Qqyt4bd1oe4KmkTagb2K,236748,False
994,Smile Flower,Seventeen 3rd Mini Album ’Going Seventeen’,https://open.spotify.com/album/3wXGFboFgcK9ezbPuSrKk9,SEVENTEEN,61,2016-12-05,https://open.spotify.com/track/054sQZ2qmw0Ya7N0XSxl3j,232394,False
995,WE GO,9 WAY TICKET,https://open.spotify.com/album/5DPggk2zBmJYqtaUyLOlVW,fromis_9,60,2021-05-17,https://open.spotify.com/track/7oQqeRSV38YqkRv2UGvmbS,175946,False
996,Breath,"It's Okay to Not Be Okay (Original Television Soundtrack), Pt.2",https://open.spotify.com/album/0rd9znGGrqyiKk4KVRJvqq,Sam Kim,61,2020-06-28,https://open.spotify.com/track/12cDuwg8jJ4N7RokLnFWfQ,253173,False
997,N.O,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,61,2022-06-10,https://open.spotify.com/track/2GEnvQgSJhedm2sqZlOP8o,209751,False
998,"You, Clouds, Rain","/// (You, Clouds, Rain)",https://open.spotify.com/album/7ANb4BnhkVoBO4RDSJ6uSs,HEIZE,60,2017-06-26,https://open.spotify.com/track/6FZAc2XaVYc8G8jaDnBshv,205312,False
999,Insomnia,HARD - The 8th Album,https://open.spotify.com/album/3JZJEeWr3LShx36FYbMc5E,SHINee,60,2023-06-26,https://open.spotify.com/track/4Zdw9Oh04fFclpTPXVH6y6,226466,False
1000,Simon Says,NCT #127 Regulate - The 1st Album Repackage,https://open.spotify.com/album/5iJsCigDROOTMgUpJ6ex2S,NCT 127,60,2018-11-23,https://open.spotify.com/track/1zedfw5iu7XzKJT8CupEIP,199773,False
